
--- Statistics ---
Minimum Distance: 0.1865
Std Dev of NN Distances: 0.0003

--- Final Colors ---
Index  Hex      R,G,B        L      C      H     
0      #009997  0,153,151      0.619 0.106 193.1
1      #64c1fe  100,193,254      0.780 0.125 240.0
2      #2e7bfe  46,123,254      0.613 0.210 260.5
3      #8800f8  136,0,248      0.534 0.288 298.0
4      #1008fd  16,8,253      0.455 0.308 265.2
5      #2b008e  43,0,142      0.317 0.192 279.9
6      #010036  1,0,54       0.152 0.103 266.1
7      #000000  0,0,0        0.000 0.010 146.9
8      #450011  69,0,17       0.249 0.099 14.7
9      #003900  0,57,0        0.299 0.102 142.5
10     #027100  2,113,0        0.476 0.162 142.4
11     #005879  0,88,121      0.434 0.090 233.0
12     #7b006b  123,0,107      0.399 0.177 335.5
13     #93618e  147,97,142      0.564 0.089 330.5
14     #a87b00  168,123,0        0.614 0.126 83.2
15     #793e00  121,62,0        0.433 0.104 57.3
16     #d70003  215,0,3        0.552 0.226 28.9
17     #fe7879  254,120,121      0.732 0.165 21.2
18     #eb00a1  235,0,161      0.622 0.261 348.2
19     #c073fe  192,115,254      0.699 0.206 307.6
20     #feb2fc  254,178,252      0.861 0.129 327.7
21     #fefefe  254,254,254      1.000 0.000 249.2
22     #3afeda  58,254,218      0.899 0.157 176.5
23     #ccc068  204,192,104      0.800 0.110 101.3
24     #f9fd2c  249,253,44       0.961 0.203 110.8
25     #04fd00  4,253,0        0.862 0.293 142.5
26     #3cb900  60,185,0        0.690 0.221 139.7
