--- Iterations ---
Total Iterations: 23,737,176
Ext Iterations: 554,735
TSP Iterations: 23,182

--- Statistics ---
Minimum Distance: 0.26668
Std Dev of NN Distances: 0.00016

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #020000  2,0,0          0.064    0.016    55.5
1      #050074  5,0,116        0.255    0.173    266.1
2      #7e004a  126,0,74       0.388    0.160    353.9
3      #fa0038  250,0,56       0.622    0.251    22.4
4      #eeaa01  238,170,1      0.784    0.162    79.8
5      #02ff47  2,255,71       0.868    0.274    144.8
6      #009c09  0,156,9        0.600    0.202    142.8
7      #00c9ed  0,201,237      0.771    0.137    216.6
8      #ffffff  255,255,255    1.000    0.000    216.8
9      #ff8ff3  255,143,243    0.803    0.180    331.0
10     #ab01ff  171,1,255      0.583    0.298    307.5
11     #006bb1  0,107,177      0.514    0.137    247.7
12     #004501  0,69,1         0.338    0.114    142.7
