--- Iterations ---
Total Iterations: 81,723,369
Ext Iterations: 15,331,051
TSP Iterations: 66,392

--- Statistics ---
Minimum Distance: 0.20689
Std Dev of NN Distances: 0.00018

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.017    225.7
1      #030075  3,0,117        0.256    0.175    265.2
2      #0600eb  6,0,235        0.426    0.294    264.5
3      #0a5a85  10,90,133      0.446    0.099    240.3
4      #013b00  1,59,0         0.306    0.104    142.3
5      #197900  25,121,0       0.504    0.166    141.0
6      #3abe10  58,190,16      0.703    0.223    140.4
7      #19ffc6  25,255,198     0.890    0.176    168.7
8      #fefeff  254,254,255    0.998    0.001    303.6
9      #ffff04  255,255,4      0.968    0.211    109.8
10     #ecaf2d  236,175,45     0.790    0.151    80.9
11     #ff92c6  255,146,198    0.790    0.144    350.7
12     #ff4600  255,70,0       0.661    0.228    35.6
13     #c70081  199,0,129      0.546    0.227    350.9
14     #fa02ff  250,2,255      0.695    0.320    327.4
15     #8f00e8  143,0,232      0.527    0.276    303.5
16     #237eff  35,126,255     0.614    0.210    258.6
17     #79c3ff  121,195,255    0.793    0.113    243.9
18     #8e8585  142,133,133    0.625    0.011    20.3
19     #8a3a00  138,58,0       0.449    0.124    47.0
20     #680069  104,0,105      0.364    0.167    327.9
21     #2b0012  43,0,18        0.187    0.076    360.0
