--- Iterations ---
Total Iterations: 1,053,875,004
Ext Iterations: 509,430,560
TSP Iterations: 544,444

--- Statistics ---
Minimum Distance: 0.12982
Std Dev of NN Distances: 0.00010

--- Final Colors ---
Index  Hex      R,G,B          L        C        H
0      #000000  0,0,0          0.000    0.026    337.0
1      #000700  0,7,0          0.113    0.038    142.5
2      #012700  1,39,0         0.236    0.079    142.0
3      #4d2b00  77,43,0        0.326    0.073    66.0
4      #8a1b00  138,27,0       0.413    0.150    33.5
5      #600039  96,0,57        0.320    0.132    352.6
6      #5d4161  93,65,97       0.419    0.062    322.1
7      #850077  133,0,119      0.425    0.189    334.1
8      #b70051  183,0,81       0.500    0.201    6.2
9      #c200a4  194,0,164      0.554    0.244    337.3
10     #b500f8  181,0,248      0.591    0.296    311.8
11     #f700fe  247,0,254      0.689    0.319    326.9
12     #ff64ce  255,100,206    0.733    0.218    342.1
13     #c17cff  193,124,255    0.711    0.193    306.4
14     #90adff  144,173,255    0.758    0.123    268.8
15     #07daf7  7,218,247      0.815    0.141    212.0
16     #c9d6ff  201,214,255    0.879    0.059    271.3
17     #fea8ff  254,168,255    0.844    0.149    326.5
18     #ce92b9  206,146,185    0.730    0.088    340.5
19     #ff6c6c  255,108,108    0.713    0.180    22.8
20     #be5f85  190,95,133     0.610    0.129    356.4
21     #f90082  249,0,130      0.636    0.257    1.0
22     #ef0f00  239,15,0       0.600    0.242    29.8
23     #ae4e00  174,78,0       0.537    0.145    48.7
24     #d07b00  208,123,0      0.661    0.149    64.1
25     #fda602  253,166,2      0.793    0.170    72.0
26     #ffb4aa  255,180,170    0.838    0.089    28.2
27     #acc79e  172,199,158    0.797    0.063    135.2
28     #c3d400  195,212,0      0.829    0.189    115.6
29     #72ff0f  114,255,15     0.886    0.269    137.5
30     #f3ff01  243,255,1      0.959    0.214    113.1
31     #ffe393  255,227,147    0.921    0.104    90.7
32     #ffffff  255,255,255    1.000    0.000    148.1
33     #89fff0  137,255,240    0.927    0.110    184.9
34     #00efa2  0,239,162      0.840    0.187    160.9
35     #09d400  9,212,0        0.753    0.256    142.4
36     #00c087  0,192,135      0.714    0.154    163.1
37     #9ea801  158,168,1      0.700    0.157    114.1
38     #00a107  0,161,7        0.614    0.207    142.7
39     #097300  9,115,0        0.484    0.163    142.1
40     #004c01  0,76,1         0.360    0.122    142.6
41     #685300  104,83,0       0.450    0.092    91.4
42     #847c00  132,124,0      0.574    0.122    104.8
43     #008e76  0,142,118      0.578    0.109    175.1
44     #929782  146,151,130    0.667    0.032    118.9
45     #01acca  1,172,202      0.685    0.122    216.4
46     #038dff  3,141,255      0.642    0.196    252.9
47     #877fc2  135,127,194    0.630    0.100    288.7
48     #786c6f  120,108,111    0.543    0.016    1.3
49     #006361  0,99,97        0.451    0.077    192.9
50     #0073b2  0,115,178      0.534    0.130    243.5
51     #754dac  117,77,172     0.511    0.147    300.7
52     #805eff  128,94,255     0.605    0.228    287.3
53     #0654fd  6,84,253       0.531    0.258    262.9
54     #0c01d8  12,1,216       0.401    0.275    265.2
55     #6801e2  104,1,226      0.475    0.267    290.7
56     #500097  80,0,151       0.368    0.199    297.8
57     #02008c  2,0,140        0.290    0.200    264.5
58     #004597  0,69,151       0.407    0.148    257.6
59     #00344f  0,52,79        0.308    0.070    239.5
60     #300054  48,0,84        0.250    0.132    302.6
61     #2d000c  45,0,12        0.189    0.076    10.1
62     #010034  1,0,52         0.148    0.102    265.1
